label, steve, meg, time, duration,group1, id3a, run2, editme4
head_down,st,na,5.73,54.459568,group1, id3a, run2, editme4
boo,st,locomotion,6.13,54.459568,group1, id3a, run2, editme4
head_down,st,na,6.47,54.459568,group1, id3a, run2, editme4
na,na,na,6.67,54.459568,group1, id3a, run2, editme4
na,na,na,6.93,54.459568,group1, id3a, run2, editme4
boo,st,locomotion,7.13,54.459568,group1, id3a, run2, editme4
na,na,na,7.23,54.459568,group1, id3a, run2, editme4
head_down,st,na,7.36,54.459568,group1, id3a, run2, editme4
boo,st,locomotion,7.52,54.459568,group1, id3a, run2, editme4
na,na,na,7.59,54.459568,group1, id3a, run2, editme4
